"Algorithm"	"epsilon for leader"	"k"	"Number of Feature Vectors"	"Feature Vector Dimension"	"Number Of Clusters calculated"	"Unclassified FeatureVectors"	"CIndex"	"DBIndex"	"DunnIndex"	"FowlkesMallowsIndex"	"JaccardIndex"	"RandIndex"	"SilhouetteIndex"	"BipartiteIndex"
"HierarchicalClustering"	""	""	"11"	"2"	"10"	"0"	"0.0"	"0.09491367"	"1.0"	"0.24253562"	"0.05882353"	"0.7090909"	"0.9305963"	"1.0"
"HierarchicalClustering"	""	""	"11"	"2"	"9"	"0"	"0.018311214"	"0.07619267"	"0.70710677"	"0.42008403"	"0.1764706"	"0.74545455"	"0.8917406"	"1.0"
"HierarchicalClustering"	""	""	"11"	"2"	"8"	"0"	"0.013954565"	"0.1486685"	"0.70710677"	"0.48507124"	"0.23529412"	"0.76363635"	"0.8673899"	"1.0"
"HierarchicalClustering"	""	""	"11"	"2"	"7"	"0"	"0.019132804"	"0.20960967"	"0.70710677"	"0.59408855"	"0.3529412"	"0.8"	"0.8495173"	"1.0"
"HierarchicalClustering"	""	""	"11"	"2"	"6"	"0"	"0.014264273"	"0.15533413"	"0.7905694"	"0.7276069"	"0.5294118"	"0.8545455"	"0.83656347"	"1.0"
"HierarchicalClustering"	""	""	"11"	"2"	"5"	"0"	"0.008691094"	"0.17248082"	"0.7905694"	"0.766965"	"0.5882353"	"0.8727273"	"0.7191837"	"1.0"
"HierarchicalClustering"	""	""	"11"	"2"	"4"	"0"	"0.025476066"	"0.10894685"	"0.31008685"	"0.9701425"	"0.9411765"	"0.9818182"	"0.8118206"	"1.0"
"HierarchicalClustering"	""	""	"11"	"2"	"3"	"0"	"0.0"	"0.17760587"	"1.118034"	"1.0"	"1.0"	"1.0"	"0.78248936"	"1.0"
"HierarchicalClustering"	""	""	"11"	"2"	"2"	"0"	"0.015706617"	"0.27488828"	"0.8095711"	"0.82462114"	"0.68"	"0.8545455"	"0.615943"	"0.8181818"
"HierarchicalClustering"	""	""	"750"	"90"	"750"	"0"	"NaN"	"0.0"	"Infinity"	"NaN"	"0.0"	"0.93457943"	"1.0"	"1.0"
"HierarchicalClustering"	""	""	"750"	"90"	"750"	"0"	"NaN"	"0.0"	"Infinity"	"NaN"	"0.0"	"0.93457943"	"1.0"	"1.0"
"HierarchicalClustering"	""	""	"750"	"90"	"750"	"0"	"NaN"	"0.0"	"Infinity"	"NaN"	"0.0"	"0.93457943"	"1.0"	"1.0"
"HierarchicalClustering"	""	""	"750"	"90"	"750"	"0"	"NaN"	"0.0"	"Infinity"	"NaN"	"0.0"	"0.93457943"	"1.0"	"1.0"
"HierarchicalClustering"	""	""	"750"	"90"	"750"	"0"	"NaN"	"0.0"	"Infinity"	"NaN"	"0.0"	"0.93457943"	"1.0"	"1.0"
"HierarchicalClustering"	""	""	"750"	"90"	"750"	"0"	"NaN"	"0.0"	"Infinity"	"NaN"	"0.0"	"0.93457943"	"1.0"	"1.0"
"HierarchicalClustering"	""	""	"750"	"90"	"750"	"0"	"NaN"	"0.0"	"Infinity"	"NaN"	"0.0"	"0.93457943"	"1.0"	"1.0"
"HierarchicalClustering"	""	""	"750"	"90"	"750"	"0"	"NaN"	"0.0"	"Infinity"	"NaN"	"0.0"	"0.93457943"	"1.0"	"1.0"
"HierarchicalClustering"	""	""	"750"	"90"	"750"	"0"	"NaN"	"0.0"	"Infinity"	"NaN"	"0.0"	"0.93457943"	"1.0"	"1.0"
